,player_display_name,position,position_group,recent_team,season,receiving_epa_mean_receive,mean_receiving_epa_per_week,receiving_epa_median_receive,median_receiving_epa_per_week,rushing_epa_mean_rush,mean_rushing_epa_per_week,rushing_epa_median_rush,median_rushing_epa_per_week,season_pass,passing_epa_mean_pass,mean_passing_epa_per_week,passing_epa_median_pass,median_passing_epa_per_week,week,number_weeks_played_in_time_period,mean_epa_per_week,median_epa_per_week
0,A.J. Brown,WR,WR,PHI,2022,3.2290277,3.2290277,5.2005687,5.2005687,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,16,16,3.2290277,5.2005687
1,A.J. Dillon,RB,RB,GB,2022,-0.22218831,-0.22218831,0.03589695,0.03589695,0.0065396978,0.0065396978,-0.75209856,-0.75209856,2022,0.0,0.0,0.0,0.0,16,16,-0.2156486,-0.7162016
2,A.J. Green,WR,WR,ARI,2022,-1.6376073,-1.6376073,-1.63867,-1.63867,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,12,12,-1.6376073,-1.63867
3,Aaron Jones,RB,RB,GB,2022,0.03284317,0.03284317,-0.16376841,-0.16376841,0.8426646,0.8426646,-0.040284917,-0.040284917,2022,0.0,0.0,0.0,0.0,16,16,0.8755078,-0.20405333
4,Aaron Rodgers,QB,QB,GB,2022,0.0,0.0,0.0,0.0,-0.54102117,-0.54102117,0.0,0.0,2022,-0.31575418,-0.31575418,1.3405912,1.3405912,16,16,-0.85677534,1.3405912
5,Adam Prentice,FB,RB,NO,2022,-0.10902289,-0.10902289,-0.5111973,-0.5111973,0.48522088,0.48522088,0.50403845,0.50403845,2022,0.0,0.0,0.0,0.0,5,5,0.376198,-0.0071588755
6,Adam Thielen,WR,WR,MIN,2022,0.67555356,0.67555356,0.53558457,0.53558457,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,16,16,0.67555356,0.53558457
7,Adam Trautman,TE,TE,NO,2022,0.68403566,0.68403566,0.7177269,0.7177269,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,11,11,0.68403566,0.7177269
8,Albert Okwuegbunam,TE,TE,DEN,2022,-0.35003486,-0.35003486,0.122464575,0.122464575,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,5,5,-0.35003486,0.122464575
9,Alec Ingold,FB,RB,MIA,2022,-0.12654436,-0.12654436,-0.51607186,-0.51607186,0.58055377,0.58055377,0.5005375,0.5005375,2022,0.0,0.0,0.0,0.0,12,12,0.4540094,-0.015534341
10,Alec Pierce,WR,WR,IND,2022,1.1333846,1.1333846,1.0568061,1.0568061,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,15,15,1.1333846,1.0568061
11,Alexander Mattison,RB,RB,MIN,2022,0.43133307,0.43133307,0.18870914,0.18870914,-0.34194946,-0.34194946,-0.39649174,-0.39649174,2022,0.0,0.0,0.0,0.0,16,16,0.0893836,-0.2077826
12,Allen Lazard,WR,WR,GB,2022,0.59889555,0.59889555,0.6840644,0.6840644,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,14,14,0.59889555,0.6840644
13,Allen Robinson,WR,WR,LA,2022,0.9003205,0.9003205,1.376189,1.376189,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,10,10,0.9003205,1.376189
14,Alvin Kamara,RB,RB,NO,2022,-0.109279424,-0.109279424,0.1686365,0.1686365,-2.710161,-2.710161,-2.2840772,-2.2840772,2022,0.0,0.0,0.0,0.0,14,14,-2.8194404,-2.1154406
15,Amari Cooper,WR,WR,CLE,2022,3.1636202,3.1636202,2.853652,2.853652,0.0,0.0,0.0,0.0,2022,-4.9805026,-4.9805026,-4.9805026,-4.9805026,16,16,-1.8168824,-2.1268506
16,Amari Rodgers,WR,WR,GB,2022,-0.9443294,-0.9443294,-0.23276988,-0.23276988,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,4,4,-0.9443294,-0.23276988
17,Amari Rodgers,WR,WR,HOU,2022,2.3271635,2.3271635,1.1673601,1.1673601,-0.225088,-0.225088,-0.225088,-0.225088,2022,0.0,0.0,0.0,0.0,4,4,2.1020756,0.94227207
18,Ameer Abdullah,RB,RB,LV,2022,-0.16022258,-0.16022258,-0.8238282,-0.8238282,-0.15590465,-0.15590465,-0.15590465,-0.15590465,2022,0.0,0.0,0.0,0.0,12,12,-0.31612724,-0.9797329
19,Amon-Ra St. Brown,WR,WR,DET,2022,3.6743333,3.6743333,3.5059638,3.5059638,0.6071139,0.6071139,0.28448063,0.28448063,2022,0.0,0.0,0.0,0.0,15,15,4.2814474,3.7904444
20,Andre Baccellia,WR,WR,ARI,2022,0.304262,0.304262,0.3618953,0.3618953,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,4,4,0.304262,0.3618953
21,Andrew Beck,TE,TE,DEN,2022,0.2281861,0.2281861,-0.03436534,-0.03436534,-1.0345197,-1.0345197,-1.0345197,-1.0345197,2022,0.0,0.0,0.0,0.0,7,7,-0.80633354,-1.068885
22,Andrew Van Ginkel,OLB,LB,MIA,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,1,1,0.0,0.0
23,Andy Dalton,QB,QB,NO,2022,0.0,0.0,0.0,0.0,-0.8272813,-0.8272813,-0.18040729,-0.18040729,2022,1.7647913,1.7647913,0.33072028,0.33072028,13,13,0.93750995,0.15031299
24,Andy Isabella,WR,WR,ARI,2022,0.17667782,0.17667782,0.17667782,0.17667782,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,2,2,0.17667782,0.17667782
25,Andy Isabella,WR,WR,BAL,2022,0.0,0.0,0.0,0.0,-0.55485123,-0.55485123,-0.55485123,-0.55485123,2022,0.0,0.0,0.0,0.0,1,1,-0.55485123,-0.55485123
26,Andy Lee,P,SPEC,ARI,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,2.864477,2.864477,2.864477,2.864477,1,1,2.864477,2.864477
27,Anthony Brown,QB,QB,BAL,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,-1.5073696,-1.5073696,-1.5073696,-1.5073696,1,1,-1.5073696,-1.5073696
28,Anthony Firkser,TE,TE,ATL,2022,-0.120758615,-0.120758615,1.0658942,1.0658942,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,7,7,-0.120758615,1.0658942
29,Anthony McFarland,RB,RB,PIT,2022,-0.45270953,-0.45270953,-0.45270953,-0.45270953,0.77191544,0.77191544,0.77191544,0.77191544,2022,0.0,0.0,0.0,0.0,1,1,0.3192059,0.3192059
30,Anthony Schwartz,WR,WR,CLE,2022,-1.3317732,-1.3317732,-0.697809,-0.697809,1.3363405,1.3363405,1.1043608,1.1043608,2022,0.0,0.0,0.0,0.0,6,6,0.0045673847,0.40655184
31,Antonio Gibson,RB,RB,WAS,2022,0.20239843,0.20239843,-0.15813926,-0.15813926,-1.0459529,-1.0459529,-0.7629969,-0.7629969,2022,0.0,0.0,0.0,0.0,15,15,-0.8435545,-0.92113614
32,Armani Rogers,TE,TE,WAS,2022,1.2069519,1.2069519,1.337853,1.337853,1.8734697,1.8734697,1.8734697,1.8734697,2022,0.0,0.0,0.0,0.0,4,4,3.0804214,3.2113228
33,Ashton Dulin,WR,WR,IND,2022,1.1857697,1.1857697,1.5289221,1.5289221,0.17171869,0.17171869,0.17171869,0.17171869,2022,0.0,0.0,0.0,0.0,7,7,1.3574884,1.7006408
34,Ashtyn Davis,SS,DB,NYJ,2022,0.0,0.0,0.0,0.0,2.2809513,2.2809513,2.2809513,2.2809513,2022,0.0,0.0,0.0,0.0,1,1,2.2809513,2.2809513
35,Austin Ekeler,RB,RB,LAC,2022,0.45290855,0.45290855,-0.20209098,-0.20209098,0.21660036,0.21660036,-0.6547857,-0.6547857,2022,0.0,0.0,0.0,0.0,16,16,0.66950893,-0.8568767
36,Austin Hooper,TE,TE,TEN,2022,1.1922814,1.1922814,1.3937609,1.3937609,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,16,16,1.1922814,1.3937609
37,Austin Trammell,WR,WR,LA,2022,0.17776412,0.17776412,0.17776412,0.17776412,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,2,2,0.17776412,0.17776412
38,Avery Williams,RB,RB,ATL,2022,-0.10886078,-0.10886078,-0.41310138,-0.41310138,0.2709255,0.2709255,0.023997756,0.023997756,2022,0.0,0.0,0.0,0.0,13,13,0.1620647,-0.38910362
39,Bailey Zappe,QB,QB,NE,2022,-1.2425923,-1.2425923,-1.2425923,-1.2425923,-2.033241,-2.033241,-1.5626986,-1.5626986,2022,1.9212544,1.9212544,2.0175958,2.0175958,4,4,-1.354579,-0.78769517
40,Baker Mayfield,QB,QB,CAR,2022,0.0,0.0,0.0,0.0,-0.80265045,-0.80265045,-0.1632466,-0.1632466,2022,-5.6758847,-5.6758847,-7.6987453,-7.6987453,7,7,-6.478535,-7.861992
41,Baker Mayfield,QB,QB,LA,2022,0.0,0.0,0.0,0.0,-0.86146545,-0.86146545,-1.2801619,-1.2801619,2022,0.21632335,0.21632335,-0.7551442,-0.7551442,4,4,-0.6451421,-2.035306
42,Ben Ellefson,TE,TE,MIN,2022,0.37269372,0.37269372,0.37269372,0.37269372,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,2,2,0.37269372,0.37269372
43,Ben Skowronek,WR,WR,LA,2022,-0.39204428,-0.39204428,-0.23265617,-0.23265617,1.9739485,1.9739485,1.9739485,1.9739485,2022,0.0,0.0,0.0,0.0,14,14,1.5819042,1.7412924
44,Benny Snell,RB,RB,PIT,2022,0.78212035,0.78212035,0.78212035,0.78212035,1.443478,1.443478,0.9606301,0.9606301,2022,0.0,0.0,0.0,0.0,3,3,2.2255983,1.7427504
45,Blake Bell,TE,TE,KC,2022,2.0522754,2.0522754,2.0522754,2.0522754,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,1,1,2.0522754,2.0522754
46,Boston Scott,RB,RB,PHI,2022,-0.7885029,-0.7885029,-0.51535136,-0.51535136,-0.4264654,-0.4264654,-0.32070702,-0.32070702,2022,0.0,0.0,0.0,0.0,12,12,-1.2149682,-0.8360584
47,Braden Mann,P,SPEC,NYJ,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.44602203,0.44602203,0.44602203,0.44602203,2,2,0.44602203,0.44602203
48,Brandin Cooks,WR,WR,HOU,2022,-0.54108864,-0.54108864,-1.1789001,-1.1789001,-0.25141117,-0.25141117,-0.25141117,-0.25141117,2022,0.0,0.0,0.0,0.0,12,12,-0.7924998,-1.4303113
49,Brandon Aiyuk,WR,WR,SF,2022,2.476601,2.476601,2.5639272,2.5639272,0.7618164,0.7618164,0.7618164,0.7618164,2022,0.0,0.0,0.0,0.0,16,16,3.2384171,3.3257437
50,Brandon Allen,QB,QB,CIN,2022,0.0,0.0,0.0,0.0,0.46789628,0.46789628,0.46789628,0.46789628,2022,-0.68825394,-0.68825394,-0.68825394,-0.68825394,1,1,-0.22035766,-0.22035766
51,Brandon Bolden,RB,RB,LV,2022,0.20463003,0.20463003,-0.13349886,-0.13349886,-1.047441,-1.047441,-0.6361747,-0.6361747,2022,0.0,0.0,0.0,0.0,8,8,-0.842811,-0.7696735
52,Brandon Johnson,WR,WR,DEN,2022,-3.2199566,-3.2199566,-0.9662212,-0.9662212,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,4,4,-3.2199566,-0.9662212
53,Brandon Powell,WR,WR,LA,2022,0.17814192,0.17814192,-0.29584008,-0.29584008,0.040393956,0.040393956,-0.10522281,-0.10522281,2022,0.0,0.0,0.0,0.0,15,15,0.21853587,-0.4010629
54,Braxton Berrios,WR,WR,NYJ,2022,-0.6427924,-0.6427924,-0.24947786,-0.24947786,1.0365211,1.0365211,1.0444993,1.0444993,2022,1.1844527,1.1844527,1.1844527,1.1844527,15,15,1.5781813,1.9794741
55,Braylon Sanders,WR,WR,MIA,2022,-2.9744563,-2.9744563,-2.9744563,-2.9744563,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,2,2,-2.9744563,-2.9744563
56,Breece Hall,RB,RB,NYJ,2022,-0.23878208,-0.23878208,-1.9426394,-1.9426394,1.9841585,1.9841585,2.401768,2.401768,2022,0.0,0.0,0.0,0.0,7,7,1.7453765,0.45912862
57,Breshad Perriman,WR,WR,TB,2022,-0.42958027,-0.42958027,-0.7278951,-0.7278951,-1.7930677,-1.7930677,-1.7930677,-1.7930677,2022,0.0,0.0,0.0,0.0,7,7,-2.222648,-2.5209627
58,Brett Rypien,QB,QB,DEN,2022,0.0,0.0,0.0,0.0,-0.18054885,-0.18054885,-0.9452289,-0.9452289,2022,-7.307212,-7.307212,-7.30969,-7.30969,4,4,-7.4877605,-8.254919
59,Brevin Jordan,TE,TE,HOU,2022,-1.5212517,-1.5212517,-0.37535644,-0.37535644,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,9,9,-1.5212517,-0.37535644
60,Brian Hoyer,QB,QB,NE,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,-2.126524,-2.126524,-2.126524,-2.126524,1,1,-2.126524,-2.126524
61,Brian Robinson,RB,RB,WAS,2022,-0.2943524,-0.2943524,1.0373225,1.0373225,-0.5196164,-0.5196164,-0.93236244,-0.93236244,2022,0.0,0.0,0.0,0.0,12,12,-0.81396884,0.104960084
62,Brock Purdy,QB,QB,SF,2022,0.0,0.0,0.0,0.0,-1.0686414,-1.0686414,-0.44297385,-0.44297385,2022,5.096528,5.096528,6.71505,6.71505,8,8,4.0278864,6.2720766
63,Brock Wright,TE,TE,DET,2022,1.4254884,1.4254884,1.3299062,1.3299062,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,12,12,1.4254884,1.3299062
64,Bryan Edwards,WR,WR,ATL,2022,-1.4877485,-1.4877485,-0.82356983,-0.82356983,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,4,4,-1.4877485,-0.82356983
65,Bryce Perkins,QB,QB,LA,2022,0.0,0.0,0.0,0.0,0.49331316,0.49331316,0.50985724,0.50985724,2022,-6.216977,-6.216977,-4.43101,-4.43101,5,5,-5.723664,-3.9211526
66,Brycen Hopkins,TE,TE,LA,2022,0.23842506,0.23842506,-0.64158094,-0.64158094,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,6,6,0.23842506,-0.64158094
67,Byron Pringle,WR,WR,CHI,2022,1.324469,1.324469,1.6922024,1.6922024,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,7,7,1.324469,1.6922024
68,C.J. Beathard,QB,QB,JAX,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,-5.8005705,-5.8005705,-5.8005705,-5.8005705,4,4,-5.8005705,-5.8005705
69,C.J. Board,WR,WR,TEN,2022,0.20860909,0.20860909,0.20860909,0.20860909,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,1,1,0.20860909,0.20860909
70,C.J. Ham,FB,RB,MIN,2022,0.3367552,0.3367552,0.47498935,0.47498935,0.36174816,0.36174816,0.88977855,0.88977855,2022,0.0,0.0,0.0,0.0,8,8,0.6985034,1.3647679
71,C.J. Moore,FS,DB,DET,2022,0.0,0.0,0.0,0.0,3.418707,3.418707,3.418707,3.418707,2022,0.0,0.0,0.0,0.0,2,2,3.418707,3.418707
72,C.J. Uzomah,TE,TE,NYJ,2022,0.9374442,0.9374442,1.2080679,1.2080679,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,12,12,0.9374442,1.2080679
73,Cade Johnson,WR,WR,SEA,2022,-1.5884178,-1.5884178,-1.5884178,-1.5884178,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,1,1,-1.5884178,-1.5884178
74,Cade Otton,TE,TE,TB,2022,0.3002373,0.3002373,0.56259036,0.56259036,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,13,13,0.3002373,0.56259036
75,Caleb Huntley,RB,RB,ATL,2022,-0.38227183,-0.38227183,-0.38227183,-0.38227183,0.3317498,0.3317498,-0.07823227,-0.07823227,2022,0.0,0.0,0.0,0.0,12,12,-0.05052203,-0.4605041
76,Cam Akers,RB,RB,LA,2022,0.5659583,0.5659583,0.102256365,0.102256365,-0.9830865,-0.9830865,-1.5174118,-1.5174118,2022,0.0,0.0,0.0,0.0,14,14,-0.4171282,-1.4151554
77,Cam Sims,WR,WR,WAS,2022,-0.24065457,-0.24065457,-0.47560662,-0.47560662,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,11,11,-0.24065457,-0.47560662
78,Cameron Brate,TE,TE,TB,2022,-1.3047069,-1.3047069,-0.26913548,-0.26913548,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,9,9,-1.3047069,-0.26913548
79,Carson Wentz,QB,QB,WAS,2022,0.0,0.0,0.0,0.0,0.86785513,0.86785513,0.31438825,0.31438825,2022,-4.6615815,-4.6615815,-3.6590633,-3.6590633,8,8,-3.7937264,-3.344675
80,Case Keenum,QB,QB,BUF,2022,0.0,0.0,0.0,0.0,-2.6957738,-2.6957738,-2.6957738,-2.6957738,2022,-2.893137,-2.893137,-2.893137,-2.893137,2,2,-5.588911,-5.588911
81,Cedrick Wilson,WR,WR,MIA,2022,0.7664301,0.7664301,0.8678962,0.8678962,0.5464192,0.5464192,0.5464192,0.5464192,2022,-1.2526237,-1.2526237,-1.2526237,-1.2526237,9,9,0.060225606,0.16169178
82,CeeDee Lamb,WR,WR,DAL,2022,3.567114,3.567114,4.2193108,4.2193108,0.008532124,0.008532124,-0.025249654,-0.025249654,2022,0.0,0.0,0.0,0.0,16,16,3.5756462,4.1940613
83,Chad Henne,QB,QB,KC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,-1.8915138,-1.8915138,-1.8915138,-1.8915138,1,1,-1.8915138,-1.8915138
84,Charlie Woerner,TE,TE,SF,2022,-0.708079,-0.708079,-0.708079,-0.708079,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,2,2,-0.708079,-0.708079
85,Chase Claypool,WR,WR,CHI,2022,-1.5137634,-1.5137634,-0.9512063,-0.9512063,-0.05839256,-0.05839256,-0.05839256,-0.05839256,2022,0.0,0.0,0.0,0.0,6,6,-1.572156,-1.0095989
86,Chase Claypool,WR,WR,PIT,2022,0.69989574,0.69989574,-0.040862754,-0.040862754,0.7977964,0.7977964,0.8816832,0.8816832,2022,2.5532115,2.5532115,2.5532115,2.5532115,8,8,4.0509033,3.394032
87,Chase Daniel,QB,QB,LAC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.035227716,0.035227716,0.035227716,0.035227716,2,2,0.035227716,0.035227716
88,Chase Edmonds,RB,RB,DEN,2022,0.8678922,0.8678922,0.6632608,0.6632608,-0.5485699,-0.5485699,-0.20028436,-0.20028436,2022,0.0,0.0,0.0,0.0,4,4,0.3193223,0.46297646
89,Chase Edmonds,RB,RB,MIA,2022,0.35084254,0.35084254,0.47861847,0.47861847,-1.6266173,-1.6266173,-0.8084084,-0.8084084,2022,0.0,0.0,0.0,0.0,8,8,-1.2757747,-0.3297899
90,Chigoziem Okonkwo,TE,TE,TEN,2022,1.2906201,1.2906201,0.9710977,0.9710977,-1.0582993,-1.0582993,-0.45083877,-0.45083877,2022,0.0,0.0,0.0,0.0,14,14,0.23232079,0.5202589
91,Chris Conley,WR,WR,HOU,2022,-2.0706286,-2.0706286,-2.0706286,-2.0706286,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,1,1,-2.0706286,-2.0706286
92,Chris Conley,WR,WR,TEN,2022,0.83192474,0.83192474,1.7630839,1.7630839,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,3,3,0.83192474,1.7630839
93,Chris Evans,RB,RB,CIN,2022,0.57745624,0.57745624,0.5742427,0.5742427,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,4,4,0.57745624,0.5742427
94,Chris Godwin,WR,WR,TB,2022,2.2509634,2.2509634,2.6188016,2.6188016,-0.5025848,-0.5025848,-0.44931856,-0.44931856,2022,0.0,0.0,0.0,0.0,14,14,1.7483786,2.169483
95,Chris Manhertz,TE,TE,JAX,2022,-0.11549604,-0.11549604,-0.32070863,-0.32070863,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,6,6,-0.11549604,-0.32070863
96,Chris Moore,WR,WR,HOU,2022,0.73994744,0.73994744,0.5069837,0.5069837,-0.47367293,-0.47367293,-0.47367293,-0.47367293,2022,0.0,0.0,0.0,0.0,14,14,0.2662745,0.03331077
97,Chris Myarick,TE,TE,NYG,2022,1.0346678,1.0346678,1.3747196,1.3747196,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,7,7,1.0346678,1.3747196
98,Chris Olave,WR,WR,NO,2022,2.1705618,2.1705618,3.4089727,3.4089727,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,14,14,2.1705618,3.4089727
99,Chris Streveler,QB,QB,NYJ,2022,0.0,0.0,0.0,0.0,1.4987127,1.4987127,1.4987127,1.4987127,2022,1.7202607,1.7202607,1.7202607,1.7202607,1,1,3.2189734,3.2189734
100,Christian Kirk,WR,WR,JAX,2022,1.5262347,1.5262347,0.6536469,0.6536469,-0.16623983,-0.16623983,-0.10160403,-0.10160403,2022,-0.3268064,-0.3268064,-0.3268064,-0.3268064,16,16,1.0331885,0.22523645
101,Christian McCaffrey,RB,RB,CAR,2022,-0.4945348,-0.4945348,0.5518595,0.5518595,0.33220664,0.33220664,-0.25931433,-0.25931433,2022,0.0,0.0,0.0,0.0,6,6,-0.16232815,0.29254517
